                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77507,                 0.6806,                 1.1338,                0.99156,                    0.6,                0.67255,                0.57937,                0.90785,                0.74967,                 1.1983,               0.006535,               0.006535,               0.006535
                     37,                0.72952,                0.58068,                 1.1264,                      1,                 0.5637,                0.64961,                0.56965,                0.86383,                0.86145,                 1.1461,               0.006436,               0.006436,               0.006436
                     38,                0.77343,                0.59646,                 1.1449,                0.78937,                    0.7,                0.70199,                0.57291,                0.85801,                0.78398,                 1.1383,               0.006337,               0.006337,               0.006337
                     39,                0.75214,                0.54374,                 1.1461,                0.98519,                0.56667,                0.66063,                 0.5742,                0.91782,                0.95901,                 1.1768,               0.006238,               0.006238,               0.006238
                     40,                0.74423,                0.61744,                 1.1304,                0.99642,                0.56667,                0.64622,                0.56382,                0.86265,                0.98071,                 1.1706,               0.006139,               0.006139,               0.006139
                     41,                 0.7445,                0.61683,                 1.1242,                0.99637,                0.56667,                0.66557,                0.57805,                 0.8869,                  1.045,                 1.1789,                0.00604,                0.00604,                0.00604
                     42,                0.69721,                0.58326,                 1.1073,                      1,                0.59812,                0.66296,                0.60634,                 0.8903,                 1.0981,                 1.1733,               0.005941,               0.005941,               0.005941
                     43,                0.73462,                0.59836,                 1.1289,                0.99509,                0.63333,                 0.6813,                0.61069,                0.88598,                0.97559,                 1.1307,               0.005842,               0.005842,               0.005842
                     44,                0.68456,                0.55209,                 1.0984,                0.99605,                    0.6,                0.69642,                0.61386,                0.76968,                 0.7641,                 1.1221,               0.005743,               0.005743,               0.005743
                     45,                0.66137,                0.53531,                 1.0832,                 0.9942,                0.56667,                0.65697,                0.58346,                0.90533,                0.93146,                 1.1946,               0.005644,               0.005644,               0.005644
                     46,                0.73995,                0.54898,                 1.1384,                 0.9917,                0.56667,                0.64857,                0.57603,                0.87769,                0.97592,                 1.1674,               0.005545,               0.005545,               0.005545
                     47,                0.71154,                0.53866,                 1.1238,                0.98519,                0.56667,                0.63217,                 0.5746,                0.89994,                 1.0117,                 1.1961,               0.005446,               0.005446,               0.005446
                     48,                 0.7039,                0.53773,                 1.0943,                      1,                 0.5568,                0.67105,                0.59378,                0.86813,                0.88867,                 1.1794,               0.005347,               0.005347,               0.005347
                     49,                0.72063,                0.58317,                 1.1048,                   0.95,                0.63333,                0.67551,                0.58373,                0.92077,                0.87548,                 1.2302,               0.005248,               0.005248,               0.005248
                     50,                0.67767,                0.53127,                 1.1004,                0.99443,                0.66667,                0.71049,                 0.6095,                0.83807,                 0.7825,                 1.1804,               0.005149,               0.005149,               0.005149
                     51,                0.72541,                0.55486,                 1.1068,                0.99447,                0.66667,                0.72733,                 0.6495,                 0.8237,                0.96108,                 1.1318,                0.00505,                0.00505,                0.00505
                     52,                0.70258,                0.51487,                 1.1215,                0.91051,                0.63333,                0.70055,                0.62445,                0.81815,                 1.0591,                 1.1341,               0.004951,               0.004951,               0.004951
                     53,                0.68237,                0.54074,                 1.0786,                0.99637,                0.66667,                0.69479,                0.62239,                0.79528,                0.87451,                 1.1335,               0.004852,               0.004852,               0.004852
                     54,                0.68987,                0.52569,                 1.0688,                0.99614,                0.66667,                0.69866,                0.61349,                0.80633,                0.92397,                 1.1277,               0.004753,               0.004753,               0.004753
                     55,                0.73301,                0.61782,                 1.1493,                0.98327,                0.66667,                0.68837,                0.61022,                0.82029,                 0.9556,                 1.1364,               0.004654,               0.004654,               0.004654
                     56,                0.72992,                0.55172,                 1.1355,                0.99613,                0.66667,                0.67863,                0.60948,                0.76864,                0.88061,                 1.0605,               0.004555,               0.004555,               0.004555
                     57,                0.70633,                0.54814,                 1.0786,                0.99643,                0.66667,                 0.6831,                 0.6043,                0.78203,                0.85432,                 1.0625,               0.004456,               0.004456,               0.004456
                     58,                0.66847,                0.51664,                 1.0818,                0.99674,                0.66667,                0.70119,                0.61237,                0.85178,                0.91234,                 1.0951,               0.004357,               0.004357,               0.004357
                     59,                0.69918,                 0.5256,                 1.0925,                0.99579,                0.66667,                 0.7262,                0.62941,                0.82614,                 0.8434,                 1.1103,               0.004258,               0.004258,               0.004258
                     60,                0.67244,                 0.5131,                 1.0619,                0.99404,                0.66667,                 0.7415,                 0.6615,                0.83309,                0.91024,                 1.1083,               0.004159,               0.004159,               0.004159
                     61,                0.63446,                0.48455,                 1.0611,                  0.995,                0.66667,                0.75597,                0.66419,                0.85489,                0.97177,                 1.1096,                0.00406,                0.00406,                0.00406
                     62,                0.67287,                 0.5086,                 1.0704,                0.99789,                0.66667,                0.75358,                0.65999,                0.85626,                 0.9532,                 1.1023,               0.003961,               0.003961,               0.003961
                     63,                0.65431,                 0.4964,                 1.0597,                      1,                0.63309,                0.74567,                0.64775,                0.80967,                0.93991,                 1.0772,               0.003862,               0.003862,               0.003862
